generator,zone,technology,capital_cost,marginal_cost,efficiency,installed_capacity,p_min_mw,available_from_year,earliest_commissioning_year,fixed_commissioning_year,commissioning_type,tech,tech_name,region,fixed_operating_cost_nzd_per_kw_year,fuel_delivery_cost_nzd_per_gj,heat_rate_gj_per_gwh,connection_cost_nzd_m,total_capital_costs_nzd_m,plants_grouped
hydrr,canterbury,hydrr,5914049.005517,0.000000,1.000000,138.000000,0.000000,,,,flexible,HydRR,"Hydro, run of river",Canterbury,77.074472,0.000000,3600.000000,37.063830,853.202592,4
hydsc,canterbury,hydsc,,0.000000,1.000000,1809.300000,0.000000,,,,flexible,HydSC,"Hydro, schedulable",Canterbury,63.055332,0.000000,3600.000000,,,3
solar,canterbury,solar,1530920.869565,0.000000,1.000000,63.000000,0.000000,2024,,2024,fixed,Solar,Solar,Canterbury,23.558811,0.000000,3600.000000,34.570000,131.018015,1
solar,canterbury,solar,1033238.648396,0.000000,1.000000,1826.000000,0.000000,2020,2020,,flexible,Solar,Solar,Canterbury,22.842587,0.000000,3600.000000,364.974921,2251.668693,13
wind,canterbury,wind,2226693.972238,0.000000,1.000000,270.600000,0.000000,2025,2025,,flexible,Wind,Wind,Canterbury,51.172323,0.000000,3600.000000,133.816580,736.359969,3
dslpkr,hawkes_bay,dslpkr,,48.130651,0.327273,155.000000,0.000000,,,,flexible,DslPkr,"Peaker, diesel-fired OCGT",Hawke's Bay,27.092632,3.133322,11000.000000,,,1
hydsc,hawkes_bay,hydsc,,0.000000,1.000000,138.000000,0.000000,,,,flexible,HydSC,"Hydro, schedulable",Hawke's Bay,75.584954,0.000000,3600.000000,,,1
solar,hawkes_bay,solar,1409841.185396,0.000000,1.000000,70.000000,0.000000,2024,,2024,fixed,Solar,Solar,Hawke's Bay,23.558811,0.000000,3600.000000,36.645730,135.334613,1
solar,hawkes_bay,solar,1136308.387556,0.000000,1.000000,383.000000,0.000000,2025,2025,,flexible,Solar,Solar,Hawke's Bay,23.209212,0.000000,3600.000000,96.170654,531.376767,4
wind,hawkes_bay,wind,2479818.246401,0.000000,1.000000,176.000000,0.000000,2024,,2024,fixed,Wind,Wind,Hawke's Bay,41.239698,0.000000,3600.000000,21.518302,457.966314,1
wind,hawkes_bay,wind,2254062.549690,0.000000,1.000000,200.000000,0.000000,,,,flexible,Wind,Wind,Hawke's Bay,54.370791,0.000000,3600.000000,192.440146,643.252656,2
hydsc,manawatu_whanganui,hydsc,,0.000000,1.000000,39.000000,0.000000,,,,flexible,HydSC,"Hydro, schedulable",Manawatū-Whanganui,76.085855,0.000000,3600.000000,,,1
solar,manawatu_whanganui,solar,1170524.169545,0.000000,1.000000,494.000000,0.000000,2024,2024,,flexible,Solar,Solar,Manawatū-Whanganui,23.558811,0.000000,3600.000000,172.614455,750.853395,8
wind,manawatu_whanganui,wind,2364214.612436,0.000000,1.000000,2319.150000,0.000000,2024,2024,,flexible,Wind,Wind,Manawatū-Whanganui,49.349252,0.000000,3600.000000,513.603339,4770.371749,18
hydrr,marlborough,hydrr,5303485.850823,0.000000,1.000000,72.000000,0.000000,,,,flexible,HydRR,"Hydro, run of river",Marlborough,74.317368,0.000000,3600.000000,13.881733,395.732714,1
solar,marlborough,solar,2078759.081057,0.000000,1.000000,65.000000,0.000000,2026,2026,,flexible,Solar,Solar,Marlborough,22.217452,0.000000,3600.000000,34.560000,169.679340,2
wind,marlborough,wind,2133422.222356,0.000000,1.000000,125.000000,0.000000,,,,flexible,Wind,Wind,Marlborough,49.645482,0.000000,3600.000000,45.821887,312.499665,2
hydsc,nelson,hydsc,,0.000000,1.000000,32.000000,0.000000,,,,flexible,HydSC,"Hydro, schedulable",Nelson,76.464087,0.000000,3600.000000,,,1
solar,nelson,solar,1002308.011304,0.000000,1.000000,130.000000,0.000000,,,,flexible,Solar,Solar,Nelson,23.558811,0.000000,3600.000000,31.690000,161.990041,1
dslpkr,northland,dslpkr,,50.898764,0.330094,9.000000,0.000000,,,,flexible,DslPkr,"Peaker, diesel-fired OCGT",Northland,22.380870,3.133322,10906.000000,,,1
gaspkr,northland,gaspkr,1213001.596675,44.570325,0.306383,100.000000,0.000000,2030,2030,,flexible,GasPkr,"Peaker, gas-fired OCGT",Northland,5.418526,2.650366,11750.000000,13.192934,134.493094,1
geo,northland,geo,9147422.765051,0.000000,0.300000,142.000000,0.000000,2026,2026,,flexible,Geo,Geothermal,Northland,223.808703,0.000000,12000.000000,53.007324,803.095991,5
solar,northland,solar,1249208.260870,0.000000,1.000000,24.000000,0.000000,2024,,2024,fixed,Solar,Solar,Northland,20.444943,0.000000,3600.000000,24.200000,54.180998,1
solar,northland,solar,1104006.540016,0.000000,1.000000,525.700000,0.000000,2024,2024,,flexible,Solar,Solar,Northland,23.558811,0.000000,3600.000000,147.166336,692.214365,8
wind,northland,wind,2165766.849488,0.000000,1.000000,548.000000,0.000000,2024,2024,,flexible,Wind,Wind,Northland,49.718140,0.000000,3600.000000,224.609703,1411.449936,4
biorecip,otago,biorecip,2518865.562924,16.012294,0.315789,10.000000,0.000000,2030,2030,,flexible,BioRecip,Reciprocating Biogas engine,Otago,21.173282,0.000000,11400.000000,0.661665,25.850321,1
hydpk,otago,hydpk,2957201.677961,0.000000,1.000000,17.000000,0.000000,,,,flexible,HydPK,"Hydro, peaking",Otago,153.132623,0.000000,3600.000000,17.203291,67.475720,1
hydrr,otago,hydrr,5905241.666128,0.000000,1.000000,725.000000,0.000000,,,,flexible,HydRR,"Hydro, run of river",Otago,64.790447,0.000000,3600.000000,75.297483,4356.597691,4
hydsc,otago,hydsc,,0.000000,1.000000,839.000000,0.000000,,,,flexible,HydSC,"Hydro, schedulable",Otago,61.884357,0.000000,3600.000000,,,2
solar,otago,solar,1133380.347038,0.000000,1.000000,879.000000,0.000000,2025,2025,,flexible,Solar,Solar,Otago,22.496057,0.000000,3600.000000,185.691174,1181.932499,5
wind,otago,wind,2471878.285619,0.000000,1.000000,774.000000,0.000000,2028,2028,,flexible,Wind,Wind,Otago,48.260955,0.000000,3600.000000,145.729444,1969.975619,4
hydsc,southland,hydsc,,0.000000,1.000000,800.000000,0.000000,,,,flexible,HydSC,"Hydro, schedulable",Southland,35.339084,0.000000,3600.000000,,,1
solar,southland,solar,1231779.296656,0.000000,1.000000,260.000000,0.000000,2025,2025,,flexible,Solar,Solar,Southland,23.558811,0.000000,3600.000000,69.410000,389.672617,2
wind,southland,wind,2386080.236569,0.000000,1.000000,891.000000,0.000000,2026,2026,,flexible,Wind,Wind,Southland,49.189898,0.000000,3600.000000,153.556312,2038.559698,8
ccgt,taranaki,ccgt,,10.116153,0.467532,380.000000,0.000000,,,,flexible,CCGT,Combined cycle gas turbine,Taranaki,48.295562,0.518294,7700.000000,,,1
gascog,taranaki,gascog,,18.070878,0.387097,95.000000,0.000000,,,,flexible,GasCog,"Cogeneration, gas-fired",Taranaki,46.837345,1.322268,9300.000000,,,2
gaspkr,taranaki,gaspkr,1213001.596675,24.150713,0.356819,510.000000,0.000000,2025,2025,,flexible,GasPkr,"Peaker, gas-fired OCGT",Taranaki,19.054921,1.250465,10089.156863,13.192934,134.493094,4
hydsc,taranaki,hydsc,,0.000000,1.000000,33.000000,0.000000,,,,flexible,HydSC,"Hydro, schedulable",Taranaki,76.402752,0.000000,3600.000000,,,1
ocgt,taranaki,ocgt,,16.726756,0.310345,9.600000,0.000000,,,,flexible,OCGT,Open cycle gas turbine,Taranaki,11.779405,0.000000,11600.000000,,,1
solar,taranaki,solar,1110769.779069,0.000000,1.000000,581.000000,0.000000,2040,2040,,flexible,Solar,Solar,Taranaki,23.215803,0.000000,3600.000000,187.676347,833.033589,7
wind,taranaki,wind,2199589.606115,0.000000,1.000000,733.000000,0.000000,,,,flexible,Wind,Wind,Taranaki,48.575183,0.000000,3600.000000,132.883473,1452.637236,4
ccgt,waikato,ccgt,,15.888062,0.486486,403.000000,0.000000,,,,flexible,CCGT,Combined cycle gas turbine,Waikato,48.295562,1.319293,7400.000000,,,1
coal,waikato,coal,,23.293774,0.330275,400.000000,0.000000,,,,flexible,Coal,Coal,Waikato,96.591125,0.883455,10900.000000,,,2
gaspkr,waikato,gaspkr,1213001.596675,44.570325,0.306383,300.000000,0.000000,2025,2025,,flexible,GasPkr,"Peaker, gas-fired OCGT",Waikato,5.418526,2.650366,11750.000000,39.578802,403.479281,3
geo,waikato,geo,5460725.829002,0.000000,0.300000,203.400000,0.000000,2024,,2024,fixed,Geo,Geothermal,Waikato,230.789404,0.000000,12000.000000,42.664431,1153.376064,2
geo,waikato,geo,5724472.792182,0.000000,0.300000,1215.400000,0.000000,2026,2026,,flexible,Geo,Geothermal,Waikato,217.442776,0.000000,12000.000000,123.868031,2516.697658,17
hydsc,waikato,hydsc,,0.000000,1.000000,1455.500000,0.000000,,,,flexible,HydSC,"Hydro, schedulable",Waikato,67.460618,0.000000,3600.000000,,,2
ocgt,waikato,ocgt,1528758.952784,26.793863,0.314088,510.800000,0.000000,,,,flexible,OCGT,Open cycle gas turbine,Waikato,22.187160,1.219671,11461.765857,5.889703,556.242926,4
othcog,waikato,othcog,,27.139750,0.300000,39.600000,0.000000,,,,flexible,OthCog,"Cogeneration, other",Waikato,82.455838,1.319293,12000.000000,,,1
solar,waikato,solar,1173678.921180,0.000000,1.000000,1357.000000,0.000000,2025,2025,,flexible,Solar,Solar,Waikato,23.558811,0.000000,3600.000000,317.652486,1910.334782,9
wind,waikato,wind,2261132.872762,0.000000,1.000000,100.000000,0.000000,2025,,2025,fixed,Wind,Wind,Waikato,48.531150,0.000000,3600.000000,18.411211,244.524498,1
wind,waikato,wind,2206662.654705,0.000000,1.000000,1119.400000,0.000000,2025,2025,,flexible,Wind,Wind,Waikato,48.523700,0.000000,3600.000000,318.456226,2646.485326,8
solar,wellington,solar,1143197.793669,0.000000,1.000000,763.000000,0.000000,2050,2050,,flexible,Solar,Solar,Wellington,23.558811,0.000000,3600.000000,171.425446,1043.685362,6
wind,wellington,wind,1979751.978563,0.000000,1.000000,502.600000,0.000000,,,,flexible,Wind,Wind,Wellington,48.643835,0.000000,3600.000000,66.691404,660.616998,3
hydpk,west_coast,hydpk,5258472.733140,0.000000,1.000000,46.000000,0.000000,,,,flexible,HydPK,"Hydro, peaking",West Coast,75.707624,0.000000,3600.000000,7.939981,249.829726,1
hydrr,west_coast,hydrr,5754132.622795,0.000000,1.000000,144.000000,0.000000,,,,flexible,HydRR,"Hydro, run of river",West Coast,88.807011,0.000000,3600.000000,36.523911,865.119009,4
wind,west_coast,wind,2173931.253667,0.000000,1.000000,75.000000,0.000000,,,,flexible,Wind,Wind,West Coast,47.541680,0.000000,3600.000000,27.610926,190.655770,1
