year,zone,product,month,demand_tons,export_flexibility_factor,enabled,scenario,paper_id,annual_target_2050_tons,seasonality
2030,cabo_negro,methanol,1,18958.333333333336,2.0,True,PTX_base,S8,175000.0,hif_cabo_negro_methanol_scaled_existing_monthly_profile_constant_from_2030
2030,cabo_negro,methanol,2,18229.166666666668,2.0,True,PTX_base,S8,175000.0,hif_cabo_negro_methanol_scaled_existing_monthly_profile_constant_from_2030
2030,cabo_negro,methanol,3,16770.833333333336,2.0,True,PTX_base,S8,175000.0,hif_cabo_negro_methanol_scaled_existing_monthly_profile_constant_from_2030
2030,cabo_negro,methanol,4,14583.333333333332,2.0,True,PTX_base,S8,175000.0,hif_cabo_negro_methanol_scaled_existing_monthly_profile_constant_from_2030
2030,cabo_negro,methanol,5,12395.833333333332,2.0,True,PTX_base,S8,175000.0,hif_cabo_negro_methanol_scaled_existing_monthly_profile_constant_from_2030
2030,cabo_negro,methanol,6,10937.5,2.0,True,PTX_base,S8,175000.0,hif_cabo_negro_methanol_scaled_existing_monthly_profile_constant_from_2030
2030,cabo_negro,methanol,7,10208.333333333334,2.0,True,PTX_base,S8,175000.0,hif_cabo_negro_methanol_scaled_existing_monthly_profile_constant_from_2030
2030,cabo_negro,methanol,8,10937.5,2.0,True,PTX_base,S8,175000.0,hif_cabo_negro_methanol_scaled_existing_monthly_profile_constant_from_2030
2030,cabo_negro,methanol,9,12395.833333333332,2.0,True,PTX_base,S8,175000.0,hif_cabo_negro_methanol_scaled_existing_monthly_profile_constant_from_2030
2030,cabo_negro,methanol,10,14583.333333333332,2.0,True,PTX_base,S8,175000.0,hif_cabo_negro_methanol_scaled_existing_monthly_profile_constant_from_2030
2030,cabo_negro,methanol,11,16770.833333333336,2.0,True,PTX_base,S8,175000.0,hif_cabo_negro_methanol_scaled_existing_monthly_profile_constant_from_2030
2030,cabo_negro,methanol,12,18229.166666666668,2.0,True,PTX_base,S8,175000.0,hif_cabo_negro_methanol_scaled_existing_monthly_profile_constant_from_2030
2030,cabo_negro,ammonia,1,0.0,2.0,False,PTX_base,S8,0.0,hif_cabo_negro_methanol_scaled_existing_monthly_profile_constant_from_2030
2030,cabo_negro,ammonia,2,0.0,2.0,False,PTX_base,S8,0.0,hif_cabo_negro_methanol_scaled_existing_monthly_profile_constant_from_2030
2030,cabo_negro,ammonia,3,0.0,2.0,False,PTX_base,S8,0.0,hif_cabo_negro_methanol_scaled_existing_monthly_profile_constant_from_2030
2030,cabo_negro,ammonia,4,0.0,2.0,False,PTX_base,S8,0.0,hif_cabo_negro_methanol_scaled_existing_monthly_profile_constant_from_2030
2030,cabo_negro,ammonia,5,0.0,2.0,False,PTX_base,S8,0.0,hif_cabo_negro_methanol_scaled_existing_monthly_profile_constant_from_2030
2030,cabo_negro,ammonia,6,0.0,2.0,False,PTX_base,S8,0.0,hif_cabo_negro_methanol_scaled_existing_monthly_profile_constant_from_2030
2030,cabo_negro,ammonia,7,0.0,2.0,False,PTX_base,S8,0.0,hif_cabo_negro_methanol_scaled_existing_monthly_profile_constant_from_2030
2030,cabo_negro,ammonia,8,0.0,2.0,False,PTX_base,S8,0.0,hif_cabo_negro_methanol_scaled_existing_monthly_profile_constant_from_2030
2030,cabo_negro,ammonia,9,0.0,2.0,False,PTX_base,S8,0.0,hif_cabo_negro_methanol_scaled_existing_monthly_profile_constant_from_2030
2030,cabo_negro,ammonia,10,0.0,2.0,False,PTX_base,S8,0.0,hif_cabo_negro_methanol_scaled_existing_monthly_profile_constant_from_2030
2030,cabo_negro,ammonia,11,0.0,2.0,False,PTX_base,S8,0.0,hif_cabo_negro_methanol_scaled_existing_monthly_profile_constant_from_2030
2030,cabo_negro,ammonia,12,0.0,2.0,False,PTX_base,S8,0.0,hif_cabo_negro_methanol_scaled_existing_monthly_profile_constant_from_2030
2040,cabo_negro,methanol,1,18958.333333333336,2.0,True,PTX_base,S8,175000.0,hif_cabo_negro_methanol_scaled_existing_monthly_profile_constant_from_2030
2040,cabo_negro,methanol,2,18229.166666666668,2.0,True,PTX_base,S8,175000.0,hif_cabo_negro_methanol_scaled_existing_monthly_profile_constant_from_2030
2040,cabo_negro,methanol,3,16770.833333333336,2.0,True,PTX_base,S8,175000.0,hif_cabo_negro_methanol_scaled_existing_monthly_profile_constant_from_2030
2040,cabo_negro,methanol,4,14583.333333333332,2.0,True,PTX_base,S8,175000.0,hif_cabo_negro_methanol_scaled_existing_monthly_profile_constant_from_2030
2040,cabo_negro,methanol,5,12395.833333333332,2.0,True,PTX_base,S8,175000.0,hif_cabo_negro_methanol_scaled_existing_monthly_profile_constant_from_2030
