scenario,year,zone,component,enabled,growth_factor,annual_energy_mwh,unit_count,energy_per_unit_kwh_per_year,profile_type,demand_type
BAU_base,2025,punta_arenas_centro,base_load,TRUE,1,,,,base_2025,electricity
BAU_base,2030,punta_arenas_centro,base_load,TRUE,1.104081,,,,base_2025,electricity
BAU_base,2040,punta_arenas_centro,base_load,TRUE,1.345868,,,,base_2025,electricity
BAU_base,2050,punta_arenas_centro,base_load,TRUE,1.640606,,,,base_2025,electricity
RH_base,2025,punta_arenas_centro,base_load,TRUE,1,,,,base_2025,electricity
RH_base,2030,punta_arenas_centro,base_load,TRUE,1.104081,,,,base_2025,electricity
RH_base,2040,punta_arenas_centro,base_load,TRUE,1.345868,,,,base_2025,electricity
RH_base,2050,punta_arenas_centro,base_load,TRUE,1.640606,,,,base_2025,electricity
RT_base,2025,punta_arenas_centro,base_load,TRUE,1,,,,base_2025,electricity
RT_base,2030,punta_arenas_centro,base_load,TRUE,1.104081,,,,base_2025,electricity
RT_base,2040,punta_arenas_centro,base_load,TRUE,1.345868,,,,base_2025,electricity
RT_base,2050,punta_arenas_centro,base_load,TRUE,1.640606,,,,base_2025,electricity
RE_base,2025,punta_arenas_centro,base_load,TRUE,1,,,,base_2025,electricity
RE_base,2030,punta_arenas_centro,base_load,TRUE,1.104081,,,,base_2025,electricity
RE_base,2040,punta_arenas_centro,base_load,TRUE,1.345868,,,,base_2025,electricity
RE_base,2050,punta_arenas_centro,base_load,TRUE,1.640606,,,,base_2025,electricity
PtX_base,2025,punta_arenas_centro,base_load,TRUE,1,,,,base_2025,electricity
PtX_base,2030,punta_arenas_centro,base_load,TRUE,1.104081,,,,base_2025,electricity
PtX_base,2040,punta_arenas_centro,base_load,TRUE,1.345868,,,,base_2025,electricity
PtX_base,2050,punta_arenas_centro,base_load,TRUE,1.640606,,,,base_2025,electricity
